Comment,Designator,Footprint,LCSC
PCM5102A,U5,TSSOP-20_4.4x6.5mm_P0.65mm,C107671
1k,"R1,R14,R7",R_0402_1005Metric,C11702
AO3401A,Q1,SOT-23,C15127
10n,C2,C_0402_1005Metric,C15195
100n,"C1,C10,C11,C12,C13,C14,C15,C17,C23,C24,C26,C28,C32,C33,C4,C5,C6,C7",C_0402_1005Metric,C1525
RP2040,U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
LED,"D1,D2",LED_0805_2012Metric,C2297
2u2,"C20,C21,C30",C_0603_1608Metric,C23630
40k,R17,R_0402_1005Metric,C25086
22R,"R2,R3",R_0402_1005Metric,C25092
470,R9,R_0402_1005Metric,C25117
1k,R16,R_0402_1005Metric,C25756
5.1k,"R10,R11,R12,R13,R4,R5,R6,R8",R_0402_1005Metric,C25905
TF-115K,Card1,TF-SMD_TF-115K,C266621
SX1M12.000M10F30TNN,X1,OSC-SMD_4P-L2.0-W1.6-BL,C2901608
R_Potentiometer,RV1,RES-ADJ-SMD_3314J,C36376
USB_B_Micro,J1,MICRO-USB-SMD_U254-051T-4BHJ25-F2S,C381143
Antenna_Shield,AE2,ANT-SMD_1909763-1,C392444
SW_SPDT,SW6,SW-TH_SK12D07VG4,C393937
Screw_Terminal_01x02,"J4,J5",TerminalBlock_bornier-2_P5.08mm,C395882
TXB0104RGY,U4,Texas_S-PVQFN-N14,C400708
K2-1102DP-L3SW-04,"SW1,SW2,SW3,SW4,SW5",SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,C445493
LIS3MDLTR,U7,LGA-12_L2.0-W2.0-P0.50-BL,C478483
1u,"C31,C34,C36,C37,C38,C8,C9",C_0402_1005Metric,C52923
Antenna_Shield,AE1,CONN-SMD_KH-SMA-KE8-G,C530661
AMS1117-3.3,U8,SOT-223-3_TabPin2,C6186
AMS1117-5.0,U9,SOT-223-3_TabPin2,C6187
D,D3,D_SOD-123,C64898
ATGM336H-5N31,U6,GPSM-SMD_ATGM336H-TR,C90770
10u,"C22,C25,C27,C29,C3,C35",C_0603_1608Metric,C96446
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521
