Comment,Designator,Footprint,LCSC
1k,"R10,R11,R12,R14,R17,R28,R3",R_0402_1005Metric,C11702
AO3401A,"Q1,Q6",SOT-23,C15127
10n,"C10,C14",C_0402_1005Metric,C15195
1n,"C15,C28,C33",C_0402_1005Metric,C1523
100n,"C1,C12,C13,C16,C17,C2,C21,C22,C23,C24,C25,C26,C27,C29,C3,C4,C50,C8,C9",C_0402_1005Metric,C1525
RT9013-33GB_C19268157,U6,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,C19268157
BMI088,U2,LGA-16_L4.5-W3.0-P0.50-BL,C194919
RP2040,U8,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
AO3400A,"Q10,Q2,Q3,Q4,Q5,Q7,Q8,Q9",SOT-23,C20917
40k,R4,R_0402_1005Metric,C25086
22R,"R15,R18",R_0402_1005Metric,C25092
20k,R2,R_0402_1005Metric,C25765
5.1k,"R1,R13,R16",R_0402_1005Metric,C25905
10n,"L1,L4",L_0402_1005Metric,C27147
SX1M12.000M10F30TNN,X2,OSC-SMD_4P-L2.0-W1.6-BL,C2901608
Q_NPN_BEC,Q11,SOT-23,C364312
USB_B_Micro,J7,MICRO-USB-SMD_U254-051T-4BHJ25-F2S,C381143
56p,"C20,C34",C_0603_1608Metric,C39148
LIS3MDLTR,U4,LGA-12_L2.0-W2.0-P0.50-BL,C478483
ADXL375BCCZ-RL7,U5,LGA-14_L5.0-W3.0-P0.80-BL,C481898
WS7916S-6/TR,U7,DFN-6_L1.5-W1.0-P0.50-BL,C506127
1u,"C18,C19,C32,C5,C6",C_0402_1005Metric,C52923
Antenna_Shield,AE3,CONN-SMD_KH-SMA-KE8-G,C530661
D,D1,D_SOD-123,C64898
BMP388,U3,SENSORM-SMD_BMP388,C779278
SAFEA1G58KA0F00R15,FL1,FILTER-SMD_5P-L1.4-W1.1-L,C91641
10u,"C11,C7",C_0603_1608Metric,C96446
W25Q128JVS,U9,SOIC-8_5.23x5.23mm_P1.27mm,C97521
